№	Название	Режиссёр	Сценарист	Дата выхода в эфир
1	«Давным-давно»	Дженнифер Фанг	Тейси Томсон	15 января 2021
2	«Где-то во времени»	Фред Гербер	Чарльз Прэтт-мл.	15 января 2021
3	«Песенка спета»	Патрисия Кардосо	Линдси Клингейл	22 января 2021
4	«Петрушка, шалфей, розмарин и время»	Патрисия Кардосо	Р. Ли Флемминг-мл.	29 января 2021
5	«Искривленное время»	Роберт Дж. Метойер	Елена Сонг	5 февраля 2021
6	«Потерянная в прошлом»	Роберт Дж. Метойер	Кэтрин Кернс	12 февраля 2021
7	«Повернуть бы время вспять»	Мэри Лу Белли	Трейси Томсон	19 февраля 2021
8	«С течением времени»	Мэри Лу Белли	Елена Сонг	26 февраля 2021
9	«Лучшее время — теперь»	Чарльз Прэтт-мл.	Р. Ли Флемминг-мл.	5 марта 2021
 
